"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-AWV-Object"	"{59B23BC7-F258-4405-897B-5BBD10DF6798}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Implementatieelement"	"EmInfraLevenscyclus"	"{03A2745A-F7B7-407a-8949-663C7ABE9419}"	""	""	""	""	"EM-infra levenscyclus"	"Abstracte die de attributen toevoegt die nodig zijn voor de levenscyclus van een object zoals gebruikt binnen EM-infra."	""	"EM-infra levenscyclus"	"Abstracte die de attributen toevoegt die nodig zijn voor de levenscyclus van een object zoals gebruikt binnen EM-infra."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"EmInfraLevenscyclus"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Implementatieelement"	"EmInfraToezicht"	"{008B71BF-513E-4ba7-996A-FBE5C5C9D849}"	""	""	""	""	"EM-infra toezicht"	"Abstracte die de attributen toevoegt die nodig zijn voor toezicht zoals gebruikt binnen EM-infra."	""	"EM-infra toezicht"	"Abstracte die de attributen toevoegt die nodig zijn voor toezicht zoals gebruikt binnen EM-infra."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"EmInfraToezicht"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Implementatieelement"	"AWVNaampadObject"	"{FC6C5EAE-E8BA-483e-94E5-C43BAB738D21}"	"AWVNaamObject"	""	""	""	"AWV naampad object"	"Abstracte als de basisklasse voor elk OTL object dat gebruik maakt van een naampad."	""	"AWV naampad object"	"Abstracte als de basisklasse voor elk OTL object dat gebruik maakt van een naampad."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"AWVNaampadObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVNaamObject"	""	""
"CLASS"	"OSLO-Implementatieelement"	"Derdenobject"	"{2E742FB9-8EC0-4b0c-B647-412FE90511F7}"	""	""	""	""	"Derdenobject"	"Object niet in eigendom van AWV maar verbonden met een object van AWV."	""	"Derdenobject"	"Object niet in eigendom van AWV maar verbonden met een object van AWV."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"Derdenobject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Implementatieelement"	"AWVNaamObject"	"{5C144615-47A1-4f8b-A119-B293BCFD84B5}"	"AWVObject"	""	""	""	"AWV naam object"	"Abstracte als de basisklasse voor elk OTL object dat benoemd wordt met een mensleesbare identificator. "	""	"AWV naam object"	"Abstracte als de basisklasse voor elk OTL object dat benoemd wordt met een mensleesbare identificator. "	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"AWVNaamObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#AWVObject"	""	""
"CLASS"	"OSLO-Implementatieelement"	"AWVObject"	"{C3CBD401-EC86-4363-9821-CCE89EB2F0A9}"	""	""	""	""	"AWV object"	"Abstracte als de basisklasse (super class) voor alle uniek geïdentificeerde OTL objecten met de basiseigenschappen die elk OTL object minstens heeft."	""	"AWV object"	"Abstracte als de basisklasse (super class) voor alle uniek geïdentificeerde OTL objecten met de basiseigenschappen die elk OTL object minstens heeft."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/implementatieelement#"	"AWVObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Bevestiging"	"{851E2395-627F-4352-8324-2E91CD6B80DE}"	""	""	""	""	"Bevestiging"	"Deze relatie geeft aan dat 2 onderdelen direct fysiek op elkaar bevestigd zijn. Dit kan zowel aan de buitenkant als aan de binnenkant zijn zoals bv. een camera aan een paal of een laagspanningsbord in een kast. Deze relatie heeft geen richting."	""	"Bevestiging"	"Deze relatie geeft aan dat 2 onderdelen direct fysiek op elkaar bevestigd zijn. Dit kan zowel aan de buitenkant als aan de binnenkant zijn zoals bv. een camera aan een paal of een laagspanningsbord in een kast. Deze relatie heeft geen richting."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Bevestiging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Sturing"	"{13A4F9E6-F804-4033-81E8-9BC04BDF0DE7}"	""	""	""	""	"Sturing"	"Deze relatie geeft aan of er een of andere vorm van dataverkeer is tussen 2 onderdelen. Een wegverlichtingstoestel dat aan staat wordt ook als sturing beschouwd, in dit geval is het een lang ononderbroken elektrisch aan-signaal. Deze relatie heeft geen richting."	""	"Sturing"	"Deze relatie geeft aan of er een of andere vorm van dataverkeer is tussen 2 onderdelen. Een wegverlichtingstoestel dat aan staat wordt ook als sturing beschouwd, in dit geval is het een lang ononderbroken elektrisch aan-signaal. Deze relatie heeft geen richting."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Sturing"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Voedt"	"{8AA83131-996E-4433-96B7-609D2D41C2F7}"	""	""	""	""	"Voedt"	"Deze relatie wordt enkel gelegd naar onderdelen die permanent onder spanning staan in normaal bedrijf. Aan deze relatie wordt steeds een richting toegekend van de voedinggever naar de ontvanger."	""	"Voedt"	"Deze relatie wordt enkel gelegd naar onderdelen die permanent onder spanning staan in normaal bedrijf. Aan deze relatie wordt steeds een richting toegekend van de voedinggever naar de ontvanger."	""	""	"true"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/onderdeel#"	"Voedt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
