"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-OTL-Signalisatie"	"{181BB915-73AC-4b32-85C5-2080A34B8DB5}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Signalisatie"	"Wegreflector"	"{7395D4D4-AF86-4438-873F-C6E4F1D5E229}"	"Bebakening"	""	""	""	"Wegreflector"	"Een wegreflector heeft als doel de zichtbaarheid van verkeerseilanden te verhogen en geleiding van de weggebruiker langs de weg"	""	"Wegreflector"	"Een wegreflector heeft als doel de zichtbaarheid van verkeerseilanden te verhogen en geleiding van de weggebruiker langs de weg"	""	""	"false"	"http://fixme.com#"	"Wegreflector"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Bebakening"	""	""
"CLASS"	"OSLO-OTL-Signalisatie"	"Reflectorpaal"	"{2996C91D-33E4-4eb5-857F-371C553DA782}"	"Bebakening"	""	""	""	"Reflectorpaal"	"Een kunstoffen paal met reflector met als doel langsgeleiding van de weggebruiker langs de weg"	""	"Reflectorpaal"	"Een kunstoffen paal met reflector met als doel langsgeleiding van de weggebruiker langs de weg"	""	""	"false"	"http://fixme.com#"	"Reflectorpaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Bebakening"	""	""
"CLASS"	"OSLO-OTL-Signalisatie"	"WegbebakeningAfschermendeConstructies"	"{4DE5A77F-D533-4cc4-871E-73A435E9E986}"	"Bebakening"	""	""	""	"WegbebakeningAfschermendeConstructies"	"Een houder met reflector op een constructie met als doel het verkeer te geleiden en het verloop van de weg te zien"	""	"WegbebakeningAfschermendeConstructies"	"Een houder met reflector op een constructie met als doel het verkeer te geleiden en het verloop van de weg te zien"	""	""	"false"	"http://fixme.com#"	"WegbebakeningAfschermendeConstructies"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Bebakening"	""	""
"CLASS"	"OSLO-OTL-Signalisatie"	"ReflectorInLijnvormigElement"	"{60EA18F5-D9CA-4fca-B52A-16EED4F2E072}"	"Bebakening"	""	""	""	"ReflectorInLijnvormigElement"	"Een reflector dat deel uitmaakt van een constructie met als doel de zichtbaarheid van deze constructie te verhogen"	""	"ReflectorInLijnvormigElement"	"Een reflector dat deel uitmaakt van een constructie met als doel de zichtbaarheid van deze constructie te verhogen"	""	""	"false"	"http://fixme.com#"	"ReflectorInLijnvormigElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Bebakening"	""	""
"CLASS"	"OTL-Draagconstructies"	"Draagconstructies"	"{C1093B52-E90F-4b82-A3D3-DB7D8AAE1271}"	""	""	""	""	"Draagconstructies"	"Verzameling van alle draagconstructies"	""	"Draagconstructies"	"Verzameling van alle draagconstructies"	""	""	"true"	"http://fixme.com#"	"Draagconstructies"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Signalisatie"	"OmegaElement"	"{5887524D-B249-4ee7-9961-8BB6B2666A2A}"	"Straatmeubilair"	""	""	""	"OmegaElement"	"Een voetgangersafsluiting met als doel om de voetgangers te geleiden"	""	"OmegaElement"	"Een voetgangersafsluiting met als doel om de voetgangers te geleiden"	""	""	"false"	"http://fixme.com#"	"OmegaElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Straatmeubilair"	""	""
"CLASS"	"OSLO-OTL-Signalisatie"	"AntiParkeerpaal"	"{9446CC7E-3FD3-4e88-91C7-091AE1B62BB0}"	"Straatmeubilair"	""	""	""	"AntiParkeerpaal"	"Een hardhouten, hard kunststoffen of metalen paal met als doel het parkeren te verhinderen"	""	"AntiParkeerpaal"	"Een hardhouten, hard kunststoffen of metalen paal met als doel het parkeren te verhinderen"	""	""	"false"	"http://fixme.com#"	"AntiParkeerpaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Straatmeubilair"	""	""
"CLASS"	"OSLO-OTL-Signalisatie"	"Plooibaken"	"{733A1FDD-742D-4562-B086-2F9E2F761A9C}"	"Straatmeubilair"	""	""	""	"Plooibaken"	"Een zacht kunststoffen paal met verschillende diameter en 3 reflecterende banden"	""	"Plooibaken"	"Een zacht kunststoffen paal met verschillende diameter en 3 reflecterende banden"	""	""	"false"	"http://fixme.com#"	"Plooibaken"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#Straatmeubilair"	""	""
"CLASS"	"OSLO-OTL-Signalisatie"	"Signalisatie"	"{92092140-81B9-4aea-8495-C1CC94F9713F}"	""	""	""	""	"Signalisatie"	"abstracte voor de gemeenschappelijke attributen aanlegdatum en wegbeheerder"	""	"Signalisatie"	"abstracte voor de gemeenschappelijke attributen aanlegdatum en wegbeheerder"	""	""	"false"	"http://fixme.com#"	"Signalisatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
