"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-OTL-Rioleringen"	"{48E0AB84-E913-4f6d-892C-496284CAFB67}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Rioleringen"	"Buisbekleding"	"{51D4FF0B-0064-427c-803F-7C7AE95C40E0}"	""	""	""	""	"Buisbekleding"	"De bekleding of coating ter bescherming van de buis."	""	"Buisbekleding"	"De bekleding of coating ter bescherming van de buis."	""	""	"false"	"http://fixme.com#"	"Buisbekleding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Rioleringen"	"PutRelaties"	"{0DACE256-8500-4cfc-8C13-97A76763C968}"	""	""	""	""	"PutRelaties"	"abstracte bedoeld om de relaties van de verschillende put types weer te geven"	""	"PutRelaties"	"abstracte bedoeld om de relaties van de verschillende put types weer te geven"	""	""	"false"	"http://fixme.com#"	"PutRelaties"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-SB260"	"Wand"	"{C4546A9A-3ED6-4a0f-B1A0-8E3125454995}"	""	""	""	""	"Wand"	""	""	"Wand"	"TODO"	""	""	"true"	"http://fixme.com#"	"Wand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#ConstructieElement"	""	""
"CLASS"	"OSLO-OTL-Bruggen"	"Damwand"	"{F5CEF9A0-9687-45c0-8BA6-7DEFFCE0E7CF}"	""	""	""	""	"Damwand"	"Een grond- en/of waterkerende constructie, die bestaat uit een verticaal in de grond geplaatste wand."	""	"Damwand"	"Een grond- en/of waterkerende constructie, die bestaat uit een verticaal in de grond geplaatste wand."	""	""	"true"	"http://fixme.com#"	"Damwand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Rioleringen"	"Putbekleding"	"{DEF118FB-D997-433f-B0C2-CC90ED698D4B}"	""	""	""	""	"Putbekleding"	"De bekleding van de put"	""	"Putbekleding"	"De bekleding van de put"	""	""	"false"	"http://fixme.com#"	"Putbekleding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Rioleringen"	"Bouwput"	"{9C2677E3-7D71-4570-AD9E-AEAD6DEF760C}"	""	""	""	""	"Bouwput"	"De ontgraving die nodig is voor het maken van een put of een verzameling van putten"	""	"Bouwput"	"De ontgraving die nodig is voor het maken van een put of een verzameling van putten"	""	""	"false"	"http://fixme.com#"	"Bouwput"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-VerhardingFundering"	"Laag"	"{58E7E3BD-A9A9-4e04-957D-942F897D7ED8}"	""	""	""	""	"Laag"	"abstracte '_Laag' die de gemeenschappelijke eigenschappen van de onderliggende objecten bevat"	""	"Laag"	"abstracte '_Laag' die de gemeenschappelijke eigenschappen van de onderliggende objecten bevat"	""	""	"true"	"http://fixme.com#"	"Laag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Rioleringen"	"LinkendeElementen"	"{C21947AD-F6DC-4c97-8495-E1CF9D7DE221}"	""	""	""	""	"LinkendeElementen"	"abstracte bedoeld om alle linkende elementen te groeperen die aansluiten op een buis"	""	"LinkendeElementen"	"abstracte bedoeld om alle linkende elementen te groeperen die aansluiten op een buis"	""	""	"false"	"http://fixme.com#"	"LinkendeElementen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Rioleringen"	"Sleuf"	"{805E28B1-8E25-417c-AE3D-D656366946B1}"	""	""	""	""	"Sleuf"	"Lijnvormige verdieping van de natuurlijke ondergrond, nodig voor het leggen van leidingen."	""	"Sleuf"	"Lijnvormige verdieping van de natuurlijke ondergrond, nodig voor het leggen van leidingen."	""	""	"false"	"http://fixme.com#"	"Sleuf"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://fixme.com#ProefSleuf"	""	""
