"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Netwerk"	"{872FCA1F-A425-45f7-8564-C2B54AD4F6FB}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"netwerk"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Netwerk"	"Netwerk"	"{807220EA-C897-4361-9F9F-83E4496D696C}"	""	""	""	""	"Netwerk"	"Verzameling van Netwerkelementen."	"De reden waarom de Netwerkelementen bij elkaar gebracht worden in een Netwerk kan verschillen, bv omdat ze geschikt zijn voor een bepaald type vervoermiddel."	"Netwerk"	"Verzameling van Netwerkelementen."	"De reden waarom de Netwerkelementen bij elkaar gebracht worden in een Netwerk kan verschillen, bv omdat ze geschikt zijn voor een bepaald type vervoermiddel."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/netwerk#"	"Netwerk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Netwerk"	"Netwerkelement"	"{9472DE6B-B45D-4386-9C01-A5D5CC9241EF}"	""	""	""	""	"Netwerkelement"	"Element in een Netwerk dat daarin een functie van belang vervult."	""	"Netwerkelement"	"Element in een Netwerk dat daarin een functie van belang vervult."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/netwerk#"	"Netwerkelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Netwerk"	"Linkset"	"{91ACD5AD-A60B-4447-810D-BE0AD774EA8E}"	"Netwerkelement"	""	""	""	"Linkset"	"TODO"	""	"Linkset"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/netwerk#"	"Linkset"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/netwerk#Netwerkelement"	""	""
"CLASS"	"OSLO-Netwerk"	"GeneriekeLink"	"{E3F6F5CE-9A9F-4111-A69E-8F196C541ECB}"	"Netwerkelement"	""	""	""	"GeneriekeLink"	"Lineair Netwerkelement."	""	"GeneriekeLink"	"Lineair Netwerkelement."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/netwerk#"	"GeneriekeLink"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/netwerk#Netwerkelement"	""	""
"CLASS"	"OSLO-Netwerk"	"Knoop"	"{D13DD601-F09A-4bd4-BE95-DCC5FF1AB79A}"	"Netwerkelement"	""	""	""	"Knoop"	"Significante positie in het Netwerk die steeds samenvalt met het begin of het einde van een Link."	""	"Knoop"	"Significante positie in het Netwerk die steeds samenvalt met het begin of het einde van een Link."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/netwerk#"	"Knoop"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/netwerk#Netwerkelement"	""	""
"CLASS"	"OSLO-Netwerk"	"Netwerkgebied"	"{409DC3AC-7A47-4194-A3A7-F0EE25913B1B}"	"Netwerkelement"	""	""	""	"Netwerkgebied"	"Tweedimensionaal element in een Netwerk."	""	"Netwerkgebied"	"Tweedimensionaal element in een Netwerk."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/netwerk#"	"Netwerkgebied"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/netwerk#Netwerkelement"	""	""
"CLASS"	"OSLO-Netwerk"	"Linksequentie"	"{E24AC87E-B558-4f02-9C77-859F165421DF}"	"GeneriekeLink"	""	""	""	"Linksequentie"	"Onvertakt doorlopend pad in een Netwerk."	"Bv een route in het Netwerk."	"Linksequentie"	"Onvertakt doorlopend pad in een Netwerk."	"Bv een route in het Netwerk."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/netwerk#"	"Linksequentie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/netwerk#GeneriekeLink"	""	""
"CLASS"	"OSLO-Netwerk"	"Link"	"{A00A6002-88F2-4fed-97D2-A297DF736737}"	"GeneriekeLink"	""	""	""	"Link"	"Curvilineair netwerkelement dat twee posities verbindt en een homogeen pad in het Netwerk vertegenwoordigt. De verbonden posities worden voorgesteld door Knopen."	""	"Link"	"Curvilineair netwerkelement dat twee posities verbindt en een homogeen pad in het Netwerk vertegenwoordigt. De verbonden posities worden voorgesteld door Knopen."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/netwerk#"	"Link"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/netwerk#GeneriekeLink"	""	""
"DATATYPE"	"OSLO-Netwerk"	"GerichteLink"	"{D7EF5390-5A16-46ef-8F89-C072C3392548}"	""	""	""	""	"Gerichte link"	"Link in hetzij zijn positieve, hetzij zijn negatieve richting."	""	"Gerichte link"	"Link in hetzij zijn positieve, hetzij zijn negatieve richting."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/netwerk#"	"GerichteLink"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
