"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Riolering"	"{D6BED566-3C6C-4f0e-A2F8-22C421738430}"	""	""	""	""	""	""	""	""	""	""	""	""	"http://"	"fixme.com"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"_Waterloop"	"{C81481D9-7417-48f8-A935-7605EF570082}"	""	""	""	""	""	""	""	""	"TODO"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"_Waterloop"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#ProefBathymetrie"	""	""
"CLASS"	"OSLO-Onderdeel"	"Buisbekleding"	"{51D4FF0B-0064-427c-803F-7C7AE95C40E0}"	""	""	""	""	"Buisbekleding"	"De bekleding of coating ter bescherming van de buis."	""	"Buisbekleding"	"De bekleding of coating ter bescherming van de buis."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Buisbekleding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"PutRelaties"	"{0DACE256-8500-4cfc-8C13-97A76763C968}"	""	""	""	""	"Put relaties"	"abstracte bedoeld om de relaties van de verschillende put types weer te geven"	""	"Put relaties"	"abstracte bedoeld om de relaties van de verschillende put types weer te geven"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"PutRelaties"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Wand"	"{C4546A9A-3ED6-4a0f-B1A0-8E3125454995}"	""	""	""	""	"Wand"	""	""	"Wand"	"TODO"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Wand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#ConstructieElement"	""	""
"CLASS"	"OSLO-Onderdeel"	"Damwand"	"{F5CEF9A0-9687-45c0-8BA6-7DEFFCE0E7CF}"	""	""	""	""	"Damwand"	"Een grond- en/of waterkerende constructie, die bestaat uit een verticaal in de grond geplaatste wand."	""	"Damwand"	"Een grond- en/of waterkerende constructie, die bestaat uit een verticaal in de grond geplaatste wand."	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Damwand"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Putbekleding"	"{DEF118FB-D997-433f-B0C2-CC90ED698D4B}"	""	""	""	""	"Putbekleding"	"De bekleding van de put"	""	"Putbekleding"	"De bekleding van de put"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Putbekleding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Onderdeel"	"Bouwput"	"{9C2677E3-7D71-4570-AD9E-AEAD6DEF760C}"	""	""	""	""	"Bouwput"	"De ontgraving die nodig is voor het maken van een put of een verzameling van putten"	""	"Bouwput"	"De ontgraving die nodig is voor het maken van een put of een verzameling van putten"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#"	"Bouwput"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"Laag"	"{58E7E3BD-A9A9-4e04-957D-942F897D7ED8}"	""	""	""	""	"Laag"	"abstracte '_Laag' die de gemeenschappelijke eigenschappen van de onderliggende objecten bevat"	""	"Laag"	"abstracte '_Laag' die de gemeenschappelijke eigenschappen van de onderliggende objecten bevat"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"Laag"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Abstracten"	"LinkendeElementen"	"{C21947AD-F6DC-4c97-8495-E1CF9D7DE221}"	""	""	""	""	"Linkende elementen"	"abstracte bedoeld om alle linkende elementen te groeperen die aansluiten op een buis"	""	"Linkende elementen"	"abstracte bedoeld om alle linkende elementen te groeperen die aansluiten op een buis"	""	""	"true"	"https://data.vlaanderen.be/ns/wegenenverkeer/abstracten#"	"LinkendeElementen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
